# Constructed from biom file
#OTU ID	VCP24	VCP25	VCP28	VCP29	VCP30	VCP31	VCP32	VCP33	VCR14	VCR15	VCR16	VCR17	VCR18	VCR19	VCR21	VCR26	VKI54	VKI55	VKI60	VUH33	VUH34	VUH36	VUH37	VUH38	VUH39	VUH40	VUH41	VUH42	VUH43
eafd3cf842ed3756df4b6de67cb4fcfa	195.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	33.0	510.0	28.0	7.0	23.0	316.0	18.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	13.0	0.0
d18ab172a643d749108718c232dfdabf	22.0	0.0	123.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	1913.0	0.0	0.0	881.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
588b3aad5c5b7447f0825ef4fc7c0d61	107.0	87.0	100.0	83.0	115.0	139.0	74.0	65.0	68.0	88.0	0.0	26.0	93.0	99.0	103.0	79.0	30.0	44.0	51.0	47.0	74.0	37.0	54.0	0.0	45.0	58.0	115.0	75.0	87.0
d663baae04e3c2596b0463db3daa8bfe	157.0	84.0	81.0	68.0	51.0	82.0	105.0	44.0	70.0	72.0	91.0	49.0	108.0	88.0	122.0	73.0	13.0	31.0	31.0	60.0	82.0	28.0	35.0	32.0	29.0	66.0	64.0	78.0	27.0
0c2bd732b514f6e5088023daf9f4da63	0.0	0.0	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	193.0	176.0	0.0	108.0	0.0	222.0	0.0	100.0	245.0	0.0	0.0	185.0	0.0
957ab590811dc97ca515a107e4cb1e88	73.0	5.0	0.0	0.0	0.0	0.0	32.0	25.0	11.0	429.0	61.0	4.0	4.0	78.0	37.0	2.0	9.0	43.0	9.0	0.0	8.0	12.0	18.0	0.0	11.0	14.0	18.0	12.0	3.0
cc55c63915bb55f5de9ce3d7d3bf4457	53.0	96.0	68.0	51.0	94.0	114.0	63.0	65.0	44.0	27.0	121.0	43.0	36.0	71.0	103.0	86.0	38.0	49.0	65.0	70.0	64.0	46.0	71.0	0.0	16.0	41.0	86.0	56.0	47.0
55029e7e316405529a99f1fe45cdf3e7	109.0	62.0	69.0	34.0	56.0	69.0	80.0	30.0	43.0	51.0	73.0	46.0	82.0	80.0	77.0	52.0	14.0	29.0	24.0	40.0	60.0	15.0	24.0	29.0	29.0	32.0	48.0	71.0	21.0
216a8cdbda65eaef2de1559906bd72f0	1.0	5.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	73.0	4.0	625.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	230.0	7.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
4a76f3ca0eaa822bb866d71a91bf25e7	121.0	2.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	626.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	283.0	0.0	63.0	11.0	0.0
fceb777879cbfa365f6cbf5125e77c0b	96.0	48.0	75.0	32.0	59.0	59.0	54.0	27.0	53.0	55.0	49.0	33.0	76.0	66.0	67.0	47.0	18.0	23.0	22.0	32.0	40.0	17.0	19.0	19.0	21.0	24.0	34.0	47.0	14.0
767272ceab7a0ae73b77f7f689180089	0.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	157.0	130.0	0.0	76.0	36.0	163.0	0.0	0.0	162.0	0.0	0.0	142.0	0.0
1e065b05a0b0038e1c8747275724d881	56.0	175.0	113.0	35.0	83.0	118.0	0.0	35.0	0.0	49.0	0.0	0.0	45.0	58.0	0.0	0.0	16.0	13.0	6.0	12.0	64.0	19.0	46.0	34.0	27.0	65.0	0.0	48.0	25.0
3dd87ac26fc5d1e702637d09f167623e	80.0	35.0	52.0	17.0	30.0	40.0	50.0	31.0	45.0	34.0	39.0	35.0	57.0	42.0	55.0	57.0	8.0	22.0	19.0	30.0	34.0	0.0	18.0	26.0	19.0	42.0	31.0	42.0	9.0
a92112a465cf176356638700f63087f5	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	249.0	15.0	0.0	16.0	192.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	23.0	5.0	0.0
d23c2c7c5e43a787cae60ce5d18a5d2a	0.0	36.0	194.0	46.0	19.0	0.0	100.0	36.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	49.0	0.0	0.0	0.0	15.0	20.0	6.0	142.0	82.0	30.0	288.0	0.0	0.0	39.0
c64d0b194420756c348758b5e64f855e	93.0	1.0	0.0	0.0	0.0	0.0	37.0	70.0	97.0	49.0	126.0	18.0	1.0	59.0	176.0	0.0	8.0	5.0	7.0	5.0	7.0	2.0	31.0	0.0	17.0	5.0	0.0	46.0	0.0
